,gray,violet,blue,green,yellow,orange,red,brown
,0.0 - 31.88,31.88 - 63.76,63.76 - 95.64,95.64 - 127.52,127.52 - 159.4,159.4 - 191.28,191.28 - 223.16,223.16 - 255.04
91,15.68,0.0,30.16,0.0,0.0,18.8,0.0,35.36
92,10.8,0.0,28.04,0.0,0.0,24.59,0.0,36.56
93,5.76,0.0,21.85,0.0,0.21,26.33,0.0,45.84
94,8.2,0.0,31.85,0.0,0.0,17.8,0.0,42.14
95,6.4,0.0,31.81,0.0,0.0,19.01,0.0,42.77
96,5.18,0.0,29.84,0.0,0.0,24.11,0.0,40.86
97,14.92,0.0,29.3,0.0,0.0,16.83,0.0,38.95
98,5.86,0.0,28.87,0.0,0.0,19.77,0.0,45.5
99,6.27,0.0,22.92,0.0,0.0,22.76,0.0,48.06
100,9.46,0.0,33.12,0.0,0.0,16.25,0.0,41.16
101,8.76,0.0,29.48,0.0,0.0,18.38,0.0,43.38
102,15.58,0.0,30.75,0.0,0.0,14.08,0.0,39.58
103,19.33,0.0,24.87,0.0,0.27,21.17,0.0,34.36
104,10.46,0.0,27.97,0.0,0.0,18.22,0.0,43.35
105,15.74,0.0,30.51,0.0,0.0,13.58,0.0,40.17
106,7.91,0.0,34.16,0.0,0.0,18.71,0.0,39.21
107,6.24,0.0,27.95,0.0,0.0,17.46,0.0,48.35
108,6.76,0.0,28.72,0.0,0.0,25.31,0.0,39.21
109,12.99,0.0,28.0,0.0,0.0,19.85,0.0,39.16
110,14.08,0.0,26.66,0.0,0.0,24.95,0.0,34.31
111,6.67,0.0,30.29,0.0,0.0,19.52,0.0,43.52
112,6.37,0.0,37.05,0.0,0.07,24.14,0.0,32.36
113,7.51,0.0,26.82,0.0,0.0,17.05,0.0,48.62
114,10.54,0.0,25.64,0.0,0.0,16.73,0.0,47.1
115,7.3,0.0,35.23,0.0,0.0,17.02,0.0,40.44
116,9.6,0.0,28.76,0.0,0.0,17.36,0.0,44.27
117,5.92,0.0,21.16,0.0,0.0,24.68,0.0,48.24
118,3.64,0.0,31.58,0.0,0.0,27.29,0.0,37.49
119,6.76,0.0,29.19,0.0,0.0,17.3,0.0,46.75
120,4.37,0.0,25.83,0.0,0.0,28.74,0.0,41.06
121,5.93,0.0,27.16,0.0,0.0,18.45,0.0,48.46
122,3.65,0.0,27.58,0.0,0.0,19.81,0.0,48.96
123,9.68,0.0,29.12,0.0,0.0,25.36,0.0,35.85
124,11.01,0.0,32.66,0.0,0.0,17.34,0.0,38.99
125,6.39,0.0,27.67,0.0,0.0,22.5,0.0,43.44
126,6.33,0.0,25.77,0.0,0.0,22.85,0.0,45.05
127,7.41,0.0,29.88,0.0,0.0,14.92,0.0,47.79
128,8.28,0.0,26.76,0.0,0.0,21.9,0.0,43.06
129,19.07,0.0,34.05,0.0,0.0,12.89,0.0,33.99
130,17.93,0.0,25.36,0.0,0.0,20.17,0.0,36.54
131,5.74,0.0,18.44,0.0,0.07,25.7,0.0,50.05
132,14.22,0.0,29.1,0.0,0.0,16.06,0.0,40.61
133,11.06,0.0,30.3,0.0,0.0,19.24,0.0,39.41
134,3.53,0.0,28.18,0.0,0.0,24.4,0.0,43.9
135,8.99,0.0,30.3,0.0,0.0,19.36,0.0,41.35
136,3.1,0.0,27.01,0.0,0.0,27.37,0.0,42.52
137,7.72,0.0,32.56,0.0,0.0,14.88,0.0,44.83
138,13.3,0.0,34.06,0.0,0.0,17.67,0.0,34.97
139,13.29,0.0,23.23,0.0,0.0,24.99,0.0,38.5
140,12.13,0.0,31.48,0.0,0.0,17.44,0.0,38.95
141,12.48,0.0,34.58,0.0,0.0,10.55,0.0,42.39
142,4.75,0.0,26.16,0.0,0.0,27.39,0.0,41.7
143,16.19,0.0,29.69,0.0,0.0,17.26,0.0,36.86
144,7.12,0.0,24.6,0.0,0.0,20.99,0.0,47.3
145,4.72,0.0,24.04,0.0,0.0,32.15,0.0,39.08
146,13.55,0.0,26.63,0.0,0.0,21.72,0.0,38.11
147,13.29,0.0,29.32,0.0,0.0,15.18,0.0,42.21
148,8.29,0.0,29.43,0.0,0.0,20.97,0.0,41.32
149,6.77,0.0,39.21,0.0,0.0,11.52,0.0,42.5
